No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
H35 ,Chert,Wadi Araba / Ain Barda ,29.10417,32.08633,Chert ,P ,2,,,,,,,,,,,,,,
G1 ,Gem stones,Bir Nasib ,29.03667,33.39833,Turquoise ,P ,3,,,,,,,,,,,,,,
G2 ,Gem stones,Serabit el-Khadim ,29.03667,33.45833,Turquoise ,P ,3,,,,,,,,,,,,,,
G3 ,Gem stones,Wadi ,Maghara ,28.89717,33.37001,Turquoise ,P ,,,,,,,,,,,,,,
G4 ,Gem stones,Abu Diyeiba ,26.51917,33.82601,Amethyst ,GR ,1,,,,,,,,,,,,,,
G5 ,Gem stones,ebel Zabara ,24.77167,34.71833,Emerald ,B/I ,1,,,,,,,,,,,,,,
G6 ,Gem stones,Wadi Sikait ,24.64883,34.79751,Emerald ,GR ,2,,,,,,,,,,,,,,
G7,Gem stones,Wadi Nugrus ,24.61675,34.77908,Emerald ,GR ,1,,,,,,,,,,,,,,
G9 ,Gem stones,Wadi el-Hudi ,23.96151,33.13067,Amethyst ,P ,1,,,,,,,,,,,,,,
G10 ,Gem stones,Gebel Migif ,24.80651,34.45301,Amazonite ,P ,1,,,,,,,,,,,,,,
G11 ,Gem stones,W. Fayrouz/Geb.Hafafit ,24.75483,34.57417,Amazonite ,GR ,4,,,,,,,,,,,,,,
G12 ,Gem stones,Zabargad Island ,23.60167,36.19133,Peridot ,GR ,4,,,,,,,,,,,,,,
G13 ,Gem stones,Stela Ridge ,22.90001,31.31667,Carnelian ,P ,3,,,,,,,,,,,,,,
G14 ,Gem stones,Umm Harba ,24.64201,34.82783,Emerald ,GR ,1,,,,,,,,,,,,,,
G15 ,Gem stones,Wadi Abu Rasheid ,24.65533,34.75458,Emerald ,GR ,1,,,,,,,,,,,,,,
G16 ,Gem stones,Umm Kabu ,24.05001,34.10001,Emerald ,GR ,1,,,,,,,,,,,,,,
L1 ,Limestone,Mallahet Mariut ,30.94686,29.50167,Limestone,GR ,4,,,,,,,,,,,,,,
L2 ,Limestone,Giza ,29.97501,31.13251,Limestone,P ,2,,,,,,,,,,,,,,
L3 ,Limestone,Saqqara ,29.86917,31.21501,Limestone,ED ,2,,,,,,,,,,,,,,
L4 ,Limestone,el-Lahun ,29.23667,30.97083,Limestone,P ,U,,,,,,,,,,,,,,
L5 ,Limestone,Zawyet Nasr (Gebel Mokattam) ,30.02667,31.27001,Limestone,P ,3,,,,,,,,,,,,,,
L6 ,Limestone,Tura ,29.93333,31.29867,Limestone,P ,3,,,,,,,,,,,,,,
L7 ,Limestone,Masara ,29.91501,31.32001,Limestone,P ,3,,,,,,,,,,,,,,
L8 ,Limestone,el-Sawayta ,28.37683,30.80101,Limestone,P ,2,,,,,,,,,,,,,,
